Category,Type,2009,2010,2011,2012,2013,2014
All,All  Painkillers,553.896,547.911,547.029,560.07,581.427,600.516
All,"All Cough, Cold and Allergy (Hay Fever) Remedies",578.655,592.767,579.537,599.949,609.462,623.889
All,All Digestive Remedies,305.928,303.975,303.345,307.314,312.165,316.008
Painkillers,Systemic Painkillers,481.383,474.453,470.988,481.698,493.668,503.559
Painkillers,Topical Painkillers/Anaesthetic,72.45,73.458,76.041,78.372,87.759,96.894
Painkillers,Calming and Sleeping,47.061,46.935,49.959,50.463,53.613,56.196
Cough cold and Allergy,Antihistamines/Allergy Remedies (Systemic),68.229,74.844,75.789,75.6,88.641,92.547
Cough cold and Allergy,"Childrens Cough, Cold and Allergy Remedies",20.16,20.034,19.719,19.467,19.026,19.278
Cough cold and Allergy,"Combination - Cough, Cold and Allergy (Hay Fever) Remedies",180.873,189.567,187.236,196.749,200.151,204.75
Cough cold and Allergy,Cough Remedies,117.81,115.479,107.415,110.628,104.391,106.911
Cough cold and Allergy,Decongestants,61.803,63.693,62.433,64.26,65.079,66.024
Cough cold and Allergy,Medicated Confectionery,88.011,86.94,85.554,91.035,91.098,94.059
Cough cold and Allergy,Throat Medications,41.706,42.21,41.328,42.147,41.139,40.383
Digestive Remedies,Childrens Digestive Remedies,9.828,9.954,10.206,10.269,10.332,10.395
Digestive Remedies,Diarrhoeal Remedies,51.219,50.715,49.959,52.038,54.054,55.377
Digestive Remedies,IBS Treatments,5.418,5.544,6.93,7.812,8.631,9.513
Digestive Remedies,Indigestion and Heartburn Remedies,174.636,172.809,171.675,173.313,175.644,177.66
Digestive Remedies,Laxatives,57.708,58.212,57.456,56.574,56.133,55.818
Digestive Remedies,Motion Sickness Remedies,7.119,6.804,7.182,7.371,7.245,7.245
